Signal Legend:

Key        Signal Name

0        = data_o
1        = AD7606:ad7606_state|channel_read
2        = AD7606:ad7606_state|cycle_cnt
3        = AD7606:ad7606_state|data_i
4        = adc_cva
5        = adc_cs
6        = adc_busy
7        = adc_rd
8        = led

Data Table:

Signals-> 0       1  2         3     4 5 6 7 8 

sample

188       125052o 4h 00000879h 00E2h 1 1 0 1 1 
189       124773o 5h 00000875h 00E2h 1 1 0 1 1 
190       124767o 6h 00000871h 00E2h 1 1 0 1 1 
191       125017o 7h 0000086Dh 00E2h 1 1 0 1 1 
192       125022o 0h 00000869h 00E2h 1 1 0 1 1 
193       125042o 1h 00000884h 00E2h 1 1 0 1 1 
194       125030o 2h 00000880h 00E2h 1 1 0 1 1 
195       125012o 3h 0000087Ch 00E2h 1 1 0 1 1 
196       125054o 4h 00000878h 00E2h 1 1 0 1 1 
197       124774o 5h 00000874h 00E2h 1 1 0 1 1 
198       124770o 6h 00000870h 00E2h 1 1 0 1 1 
199       125021o 7h 0000086Ch 00E2h 1 1 0 1 1 
200       125024o 0h 00000868h 00E2h 1 1 0 1 1 
201       125043o 1h 00000884h 00E2h 1 1 0 1 1 
202       125031o 2h 00000880h 00E2h 1 1 0 1 1 
203       125014o 3h 0000087Ch 00E2h 1 1 0 1 1 
204       125056o 4h 00000878h 00E2h 1 1 0 1 1 
205       125777o 5h 00000874h 00E2h 1 1 0 1 1 
206       124772o 6h 00000870h 00E2h 1 1 0 1 1 
207       125023o 7h 0000086Ch 00E2h 1 1 0 1 1 
208       125026o 0h 00000868h 00E2h 1 1 0 1 1 
209       125045o 1h 00000884h 00E2h 1 1 0 1 1 
210       125034o 2h 00000880h 00E2h 1 1 0 1 1 
211       125016o 3h 0000087Ch 00E2h 1 1 0 1 1 
212       125060o 4h 00000878h 00E2h 1 1 0 1 1 
213       125000o 5h 00000874h 00E2h 1 1 0 1 1 
214       176775o 6h 00000870h 00E2h 1 1 0 1 1 
215       125025o 7h 0000086Ch 00E2h 1 1 0 1 1 
216       125030o 0h 00000868h 00E2h 1 1 0 1 1 
217       125044o 1h 00000884h 00E2h 1 1 0 1 1 
218       125033o 2h 00000880h 00E2h 1 1 0 1 1 
219       125015o 3h 0000087Ch 00E2h 1 1 0 1 1 
220       125060o 4h 00000878h 00E2h 1 1 0 1 1 
221       125001o 5h 00000874h 00E2h 1 1 0 1 1 
222       124774o 6h 00000870h 00E2h 1 1 0 1 1 
223       125025o 7h 0000086Ch 00E2h 1 1 0 1 1 
224       125030o 0h 00000868h 00E2h 1 1 0 1 1 
225       125044o 1h 00000884h 00E2h 1 1 0 1 1 
226       125033o 2h 00000880h 00E2h 1 1 0 1 1 
227       125016o 3h 0000087Ch 00E2h 1 1 0 1 1 
228       125060o 4h 00000878h 00E2h 1 1 0 1 1 
229       125001o 5h 00000874h 00E2h 1 1 0 1 1 
230       174775o 6h 00000870h 00E2h 1 1 0 1 1 
231       125025o 7h 0000086Ch 00E2h 1 1 0 1 1 
232       125030o 0h 00000868h 00E2h 1 1 0 1 1 
233       125043o 1h 00000884h 00E2h 1 1 0 1 1 
234       125033o 2h 00000880h 00E2h 1 1 0 1 1 
235       125015o 3h 0000087Ch 00E2h 1 1 0 1 1 
236       125057o 4h 00000878h 00E2h 1 1 0 1 1 
237       124777o 5h 00000874h 00E2h 1 1 0 1 1 
238       124773o 6h 00000870h 00E2h 1 1 0 1 1 
239       125024o 7h 0000086Ch 00E2h 1 1 0 1 1 
240       125027o 0h 00000868h 00E2h 1 1 0 1 1 
241       125043o 1h 00000884h 00E2h 1 1 0 1 1 
242       125032o 2h 00000880h 00E2h 1 1 0 1 1 
243       125014o 3h 0000087Ch 00E2h 1 1 0 1 1 
244       125057o 4h 00000878h 00E2h 1 1 0 1 1 
245       124777o 5h 00000874h 00E2h 1 1 0 1 1 
246       124774o 6h 00000870h 00E2h 1 1 0 1 1 
247       125023o 7h 0000086Ch 00E2h 1 1 0 1 1 
248       125026o 0h 00000868h 00E2h 1 1 0 1 1 
249       125041o 1h 00000884h 00E2h 1 1 0 1 1 
250       125027o 2h 00000880h 00E2h 1 1 0 1 1 
251       125012o 3h 0000087Ch 00E2h 1 1 0 1 1 
252       125054o 4h 00000878h 00E2h 1 1 0 1 1 
253       124774o 5h 00000874h 00E2h 1 1 0 1 1 
254       124771o 6h 00000870h 00E2h 1 1 0 1 1 
255       125021o 7h 0000086Ch 00E2h 1 1 0 1 1 
256       125025o 0h 00000868h 00E2h 1 1 0 1 1 
257       125040o 1h 00000885h 00E2h 1 1 0 1 1 
258       125030o 2h 00000881h 00E2h 1 1 0 1 1 
259       125012o 3h 0000087Dh 00E2h 1 1 0 1 1 
260       125054o 4h 00000879h 00E2h 1 1 0 1 1 
261       124774o 5h 00000875h 00E2h 1 1 0 1 1 
262       124770o 6h 00000871h 00E2h 1 1 0 1 1 
263       125021o 7h 0000086Dh 00E2h 1 1 0 1 1 
264       125023o 0h 00000869h 00E2h 1 1 0 1 1 
265       125044o 1h 00000885h 00E2h 1 1 0 1 1 
266       125033o 2h 00000881h 00E2h 1 1 0 1 1 
267       125016o 3h 0000087Dh 00E2h 1 1 0 1 1 
268       125060o 4h 00000879h 00E2h 1 1 0 1 1 
269       125000o 5h 00000875h 00E2h 1 1 0 1 1 
270       176775o 6h 00000871h 00E2h 1 1 0 1 1 
271       125025o 7h 0000086Dh 00E2h 1 1 0 1 1 
272       125027o 0h 00000869h 00E2h 1 1 0 1 1 
273       125047o 1h 00000884h 00E2h 1 1 0 1 1 
274       125036o 2h 00000880h 00E2h 1 1 0 1 1 
275       125020o 3h 0000087Ch 00E2h 1 1 0 1 1 
276       135063o 4h 00000878h 00E2h 1 1 0 1 1 
277       125003o 5h 00000874h 00E2h 1 1 0 1 1 
278       176777o 6h 00000870h 00E2h 1 1 0 1 1 
279       125030o 7h 0000086Ch 00E2h 1 1 0 1 1 
280       125033o 0h 00000868h 00E2h 1 1 0 1 1 
281       125051o 1h 00000885h 00E2h 1 1 0 1 1 
282       125041o 2h 00000881h 00E2h 1 1 0 1 1 
283       125022o 3h 0000087Dh 00E2h 1 1 0 1 1 
284       125066o 4h 00000879h 00E2h 1 1 0 1 1 
285       125005o 5h 00000875h 00E2h 1 1 0 1 1 
286       125002o 6h 00000871h 00E2h 1 1 0 1 1 
287       125032o 7h 0000086Dh 00E2h 1 1 0 1 1 
288       125035o 0h 00000869h 00E2h 1 1 0 1 1 
289       125053o 1h 00000885h 00E2h 1 1 0 1 1 
290       125042o 2h 00000881h 00E2h 1 1 0 1 1 
291       125025o 3h 0000087Dh 00E2h 1 1 0 1 1 
292       125067o 4h 00000879h 00E2h 1 1 0 1 1 
293       125006o 5h 00000875h 00E2h 1 1 0 1 1 
294       125003o 6h 00000871h 00E2h 1 1 0 1 1 
295       125034o 7h 0000086Dh 00E2h 1 1 0 1 1 
296       125037o 0h 00000869h 00E2h 1 1 0 1 1 
297       125055o 1h 00000885h 00E2h 1 1 0 1 1 
298       125043o 2h 00000881h 00E2h 1 1 0 1 1 
299       125026o 3h 0000087Dh 00E2h 1 1 0 1 1 
300       125070o 4h 00000879h 00E2h 1 1 0 1 1 
301       125007o 5h 00000875h 00E2h 1 1 0 1 1 
